obs_code,program_code,band,astcat,n_objects,n_obs,bias_ra_arcsec,bias_ra_ci_low,bias_ra_ci_high,bias_dec_arcsec,bias_dec_ci_low,bias_dec_ci_high,bias_at_arcsec,bias_at_ci_low,bias_at_ci_high,bias_ct_arcsec,bias_ct_ci_low,bias_ct_ci_high,bias_ra_median_arcsec,bias_ra_median_ci_low,bias_ra_median_ci_high,bias_dec_median_arcsec,bias_dec_median_ci_low,bias_dec_median_ci_high,bias_at_median_arcsec,bias_at_median_ci_low,bias_at_median_ci_high,bias_ct_median_arcsec,bias_ct_median_ci_low,bias_ct_median_ci_high,rms_ra_arcsec,rms_ra_ci_low,rms_ra_ci_high,rms_dec_arcsec,rms_dec_ci_low,rms_dec_ci_high,rms_at_arcsec,rms_at_ci_low,rms_at_ci_high,rms_ct_arcsec,rms_ct_ci_low,rms_ct_ci_high,sem_ra_arcsec,sem_dec_arcsec,sem_at_arcsec,sem_ct_arcsec,resid_var_ra,resid_var_dec,resid_cov_ra_dec,resid_cov_n,resid_var_at,resid_var_ct,resid_cov_at_ct,chi2_per_obs,bias_significant,confidence_score,high_confidence,sigma_model_source,obs_epoch_start,obs_epoch_end
006,,,,137,2130,-0.06801313034247768,-0.10414681521764464,-0.03273405118616916,0.0595322791491566,0.015029009786331378,0.10805852295674559,0.03837353425847103,0.00022511917193579603,0.08062406571009023,-0.024891786384724533,-0.0643152710692041,0.014085295168996747,-0.07093226553637039,-0.09029800980720785,-0.03465251353190767,0.038071632193130256,0.010966235994733085,0.07181157121674259,0.022688196666806146,-0.01526786747662541,0.04629195160191905,-0.01456108305703514,-0.04919157143129483,0.012057980801905325,0.3641068793483741,0.3366139370376054,0.39447396456229666,0.3721870768581234,0.3392489368324321,0.4071082155939829,0.36277440474720557,0.3301725224975396,0.39652801419053046,0.37461112281004394,0.34511039471011234,0.4087581441724432,0.017453662253381557,0.024201740854989707,0.02056415721548871,0.02037900255590074,0.13601558427397578,0.1276542000562773,-0.0032208507756059327,2130.0,0.13768271942046015,0.1289022153220325,0.009274895686602464,2.9239815370310844,True,0.9541932283636247,True,0.0,56216.86242,60978.77914
006,,R,,133,2053,-0.06990677104825713,-0.10702731841860434,-0.035053019481118636,0.062291012163960977,0.016559837467723677,0.11586099548061263,0.04032684479208605,0.0009951535662621005,0.08133635096357282,-0.027716502195203822,-0.06833562075456384,0.012020648758402162,-0.07129384579538316,-0.09871276572291987,-0.03465825450630993,0.030755845790473302,0.010951427762080357,0.07181157121674259,0.024691522610879084,-0.014828702261105435,0.04785911821302461,-0.01456108305703514,-0.04919157143129483,0.012057980801905325,0.3666132284410264,0.33748440934333934,0.39780321997848417,0.36704109544037394,0.33197654679645294,0.4038689641845126,0.36279026472021214,0.33017862519159535,0.3959370403229107,0.371056470828935,0.33812751561624904,0.40517667275682884,0.01804041644703605,0.024602276555288648,0.021046953103120554,0.020932195406770302,0.13764540447409457,0.12799388535387743,-0.0034013985781379693,2053.0,0.13930560714595702,0.12925689048706754,0.008812491642381239,2.9559481635452336,True,0.952283480943952,True,0.0,56393.8402,60978.77914
006,,UNK,,3,47,-0.0035467914745131446,-0.10188603038588508,0.06667521818534809,0.016320586267381237,-0.12304257117818906,0.10166641533560804,0.010176755015993086,-0.07374052539933028,0.0694779250064694,-0.0939669577749495,-0.12651962401737255,-0.02936683393641801,0.024570437776997547,-0.10188603038588508,0.06667521818534809,0.07033791464472472,-0.12304257117818906,0.10166641533560804,0.034792865440840134,-0.07374052539933028,0.0694779250064694,-0.1260144153710579,-0.12651962401737255,-0.02936683393641801,0.2652866438464449,0.16856055933352668,0.35232380445915906,0.2462122789015583,0.18618566483475896,0.33591829715030674,0.24364447214903798,0.14543987489856544,0.320515102075556,0.2666020478848227,0.20475596875862298,0.3663921872671871,0.05064963825326485,0.07026600880175227,0.04313678168916416,0.0323003911684739,0.06303239058423894,0.0452405655318178,0.005581307547035608,47.0,0.05668108934218175,0.048796801508418586,0.0029747846128071118,1.5649962155320747,False,0.3628208380537113,False,0.0,57941.9341,58067.85369
010,,,,41,190,0.05535348508470016,-0.3503529711467462,0.4517356679986267,-0.23305435690185622,-0.7548518512900861,0.28154488563600505,0.23110192417272743,-0.2596954232353239,0.7727860286929079,0.30348425670841256,-0.09653581810271453,0.7325607744812628,0.031821250468082374,-0.5339099092510226,0.49038392777713846,-0.010052723932085783,-0.568704374504847,0.47029853008613287,0.04773950036410253,-0.5388457543329062,0.4902171876379204,0.12730118603263874,-0.08222979576892436,0.5429222910425261,1.7062612643761268,1.3696121836246822,2.0707247751753166,1.837150277898608,1.4726897487683677,2.2332026613360423,1.793581091356117,1.4357134914365601,2.160405775723581,1.7034905434433216,1.3251110037662468,2.1365267315286154,0.2086981928972115,0.271107188947924,0.26122603537447825,0.21397901371621975,5.121437928479797,4.4611250758849215,1.1928098055039142,190.0,4.977078750819332,4.5894184832013885,1.6548392181632239,10.43369487695497,False,0.790851324149013,True,0.0,44841.87799,58781.81602
010,01,,,19,65,0.0388459259785621,-0.5664271325723996,0.6598879987124082,-0.35581033869940654,-1.091368291727919,0.3926768012810477,-0.16973397170636675,-0.9441107108636473,0.6275986850273575,0.17393935629884325,-0.4016735008631029,0.748160322480816,0.02604485448833469,-0.9691513414288231,0.9226990873157654,-0.5564079306097369,-0.9601060374561955,0.5312105778411791,-0.36619334725071484,-0.8717855289560968,0.1930337112120758,0.3386109860181142,-0.8750125135194226,0.749461883201741,1.4936037705215548,1.2045447457930425,1.7907224683890586,1.7040651462778615,1.3201342020516786,2.130879046781949,1.581975987348732,1.1352485666010526,2.0571424393282514,1.5372407308846385,1.2975685970168622,1.8331814492971499,0.3252277090739206,0.3855132411482481,0.40315980976497473,0.3067446639253935,2.396229760411867,3.617420408656575,-0.05890905719989813,65.0,3.3236437843363675,2.696371448385457,0.7289520917914781,6.3307774211535275,False,0.46421111863885584,False,0.0,47795.06215,50313.02708
010,01,B,,17,21,0.5844696535075412,0.018191513775054496,1.1066568385544653,-0.1612080581854221,-0.9209656315384229,0.5524177607717276,-0.41678945149280694,-1.081352562598009,0.22011808343547606,0.10778869230318242,-0.5252581265001098,0.8705746258327799,0.8158485767876265,-0.343595629306218,1.3681286667147643,-0.0959308891694377,-1.010513739213792,0.8694571198944345,-0.25624871935686455,-1.0021897354823999,0.5278706483132277,-0.007469668810003494,-1.16857793587994,0.7692972989228157,1.2057755383437443,0.8784499858786701,1.5495060829315979,1.3696363717013031,0.9356296171471506,1.8953927355866913,1.241445587741733,0.8069606887989977,1.7126159715526075,1.269601354699841,0.8718595030097516,1.7299279399251368,0.2863367189711074,0.39571101348337545,0.34496561884342103,0.362024540772903,1.8483508041354673,2.688537259319228,0.08677660239300511,21.0,2.372884808433801,2.2694096630645872,-0.02873872133965376,4.883175351542781,True,0.021479886186126135,False,0.0,47795.02326,50313.00625
010,04,,,11,37,-0.19423546449815599,-0.9802366601894784,0.5847324531533961,-0.8828120735867887,-2.1990045651782304,0.14494250874873657,0.3332866420374499,-0.6894393316014406,1.6391326587460535,0.7624421673037202,0.00259705516993688,1.5674623812254904,-0.5339099092510226,-1.1486064896197177,1.1610014090109357,-0.1934005032969921,-1.4000795661985421,0.3079032783222857,0.49568170188334887,-0.9243432491471669,0.9345582630796823,0.5935193668355785,-0.3743003728807659,1.0936771097873472,1.9304612470244342,1.3224888335103664,2.5854484774903357,2.4223291467650268,1.4147242615622333,3.5703944568811985,2.0028107126818537,1.3374705204413888,2.9343793412447243,2.2745106869927,1.3830783066595522,3.3373974684613397,0.41825015561412754,0.6526061475145494,0.6357211563279069,0.4478294377443587,7.050357697567316,6.511961842357895,2.006229884271675,37.0,5.88662261544075,7.008698941580971,2.8470661642308617,13.926152963913973,False,0.2577789949973746,False,0.0,44841.89881,46849.95799
010,0A,R,,4,11,0.20619686605425164,-0.2824616076665258,0.694855339775029,0.39102219071089905,0.06158949376633416,0.720454887655464,-0.37549987927636563,-0.9937016607819278,0.3664595449335584,0.0399176561082089,-0.10659150714973695,0.2136552968202285,0.2567295152548851,-0.549124425584654,0.8604528592918904,0.3510974925575283,-0.015446568902888203,0.8773403466314278,-0.3816795283107938,-1.2288576481217954,0.4902171876379204,0.01268917865413515,-0.14933034941916504,0.28362261654373033,0.5703800457348829,0.24845937102850713,0.8357242321646783,0.49239326171923026,0.1414734858647736,0.843313037573687,0.7409233608115646,0.31094699206998366,1.1708997295531458,0.1610792934950857,0.0443162279135165,0.2778423590766549,0.3098671233524712,0.20314174272414418,0.38316859653118135,0.08983753568470805,0.2492171268469394,0.20523330488754035,0.18945143696594896,11.0,0.42986030496550537,0.031422674683690414,0.06094707068965477,12.763445471717404,True,0.0,False,0.0,58224.86364,58781.81602
012,,,,99,645,-0.0830991200053873,-0.1799487662987975,0.0009891463900399185,-0.024753456110444796,-0.09287449107816523,0.04452432505594025,0.10494380305791802,0.022625234534445086,0.1906910195844398,0.013966532372333274,-0.05611478496921443,0.08315326067456405,-0.034582342911051764,-0.09445160912719959,0.02073532433884581,0.0025294676963280188,-0.05183404102098166,0.04346373780187775,0.01247429804497043,-0.04500383512775002,0.13320174046011338,0.014290374720724898,-0.022080433567722445,0.0669748450291879,0.5577590242462925,0.4908116969783023,0.6359271389750831,0.4686695116442067,0.41468618666006535,0.5275655587075903,0.558132687905937,0.48852518675758605,0.6294511773251448,0.46906818646653675,0.41338280574966746,0.5331372957547492,0.04571593722896941,0.035809985304857316,0.04455515891602351,0.03575920445283276,0.37833389279302515,0.26625904729279076,0.001709309141059037,645.0,0.36720623411942893,0.275344584559714,0.016270890296469852,39.739336572870066,False,0.9360507889586761,True,0.0,48651.00365,56721.90888
012,02,R,,60,339,0.01706460564802631,-0.0781936530074717,0.11425277088011132,-0.06294942190661443,-0.1630554255913681,0.022067821445773964,0.08069627038801573,-0.02370604616157746,0.1929002957514368,0.02683640181654472,-0.04968007239910397,0.10235399202911953,0.008038042229778716,-0.08894370207159608,0.12547087225644266,-0.017394388106950487,-0.12464636914046423,0.031285881296039264,-0.005858162099508582,-0.06971947132613744,0.16642960225721923,0.05627942161710449,0.002924047071506617,0.1595802356841951,0.49737406299379855,0.4287569625624469,0.5716533346995561,0.43983262111094185,0.3756477059007855,0.5097908101116116,0.5164592651430682,0.4376234771807402,0.5944523942960708,0.42713118110631776,0.37347004079061896,0.48704655199354113,0.049455398551974956,0.0475143492543014,0.05565421388252589,0.03900357918549507,0.2934490533601889,0.24162570905073066,0.019675372923331026,339.0,0.306146549390366,0.22694532697984107,0.022274901171340313,59.812005287856636,False,0.9011100842518841,True,0.0,52283.03329,56721.90888
