stn,n_obs,mean_ra_arcsec,mean_dec_arcsec,std_ra_arcsec,std_dec_arcsec,sem_ra_arcsec,sem_dec_arcsec,snr_ra,snr_dec,mean_at_arcsec,mean_ct_arcsec,std_at_arcsec,std_ct_arcsec,sem_at_arcsec,sem_ct_arcsec,snr_at,snr_ct,mean_speed_arcsec_per_day,detected_ra,detected_dec,detected_at,detected_ct,at_better_than_ra,ct_better_than_dec,at_gains_detection,at_loses_detection,ct_gains_detection,ct_loses_detection,scenario,target_station,applied_bias,is_target
691,3214,0.15095899671534227,0.016311422840451634,0.4335865312866445,0.36887706250263036,0.007648087479963697,0.006506669003302256,19.738136770901427,2.5068776100602754,-0.07568982185298041,-0.009612457119460282,0.4500548490807484,0.37250086783761943,0.007938574213403955,0.006570589762395285,9.534435254781807,1.4629519521176277,716.8270511350477,True,False,True,False,False,False,False,False,False,False,AA00_clean,AA00,clean,False
703,11201,0.12127532056768006,0.01016446149263685,0.492397860864545,0.3930707406815465,0.0046525147528979835,0.003714003583895571,26.066617089637262,2.736793668350604,0.21378975286111193,0.002400487943767065,0.46390013972397687,0.38839306146929603,0.004383248619617726,0.003669805643014779,48.77427027622199,0.6541185493940879,941.5147765161167,True,False,True,False,True,False,False,False,False,False,AA00_clean,AA00,clean,False
F51,11792,0.03271014202269598,-0.0005903047253816682,0.28706249883295515,0.19597715555343892,0.002643520762428226,0.0018047278267741005,12.373703466830287,0.32708795011867303,0.14733112439663107,0.004930001378860443,0.25720032747960553,0.18433303961927805,0.002368523957534857,0.001697498695984754,62.20377206991491,2.904274030090166,711.6464864123344,True,False,True,False,True,True,False,False,False,False,AA00_clean,AA00,clean,True
F52,6019,-0.013459296796133755,0.005806559771619916,0.2886615054450705,0.19089485820759303,0.003720717531288139,0.002460549232120982,3.617392796672219,2.359863275978708,0.18810555027721954,-0.0047634444632805055,0.2324106985334149,0.17479763005074173,0.002995669821505694,0.002253063170146782,62.792484314133546,2.114208126250707,654.8380885051354,True,False,True,False,True,False,False,False,False,False,AA00_clean,AA00,clean,False
G96,14710,0.06918514463702595,0.005511613198013135,0.3269040817103938,0.1974300554124622,0.002695342795094349,0.0016278220651355629,25.668402832821922,3.385881857765661,0.17042889701907646,-0.0037483229565456115,0.2970567538764879,0.18264020769986083,0.0024492498750885126,0.0015058789273682646,69.58411991872303,2.4891263755820883,768.1307070317077,True,True,True,False,True,False,False,False,False,True,AA00_clean,AA00,clean,False
T09,76,0.08360045162626162,0.016982938794605756,0.30935687163603115,0.24884044913848544,0.03548566686714063,0.028543957127892917,2.3558934918502206,0.5949749265146622,0.010551059037390339,0.0070960821519297675,0.29775877958053276,0.27599566274128084,0.03415527446693538,0.0316588737564415,0.30891448545098005,0.22414196432006547,490.29880288748876,False,False,False,False,False,False,False,False,False,False,AA00_clean,AA00,clean,False
V00,470,0.08086898018861256,0.03281055202839717,0.4770323026229331,0.36958649247487724,0.022003859320376757,0.017047753668700347,3.6752180156743477,1.9246261217768124,0.29357590953685203,-0.03935260456348319,0.39890915496302315,0.3531791779133119,0.018400307231090974,0.016290940682550808,15.954946069639382,2.4156127832221306,871.7454556161142,True,False,True,False,True,True,False,False,False,False,AA00_clean,AA00,clean,False
W68,4780,-0.04357551223087655,-0.011913695261866229,0.3762656113969746,0.4073218712474821,0.005442276211275931,0.005891471511287819,8.006854216732295,2.0221934773069976,0.26397264229041467,0.0648059962601282,0.31973552111662634,0.36524029003266856,0.004624629431354193,0.005282806830165442,57.079739297753356,12.26734165066919,922.4097525475556,True,False,True,True,True,True,False,False,True,False,AA00_clean,AA00,clean,False
W84,354,-0.023686315279862043,0.019282192859809227,0.2926125716628743,0.22379993508064022,0.015552182717370105,0.011894832346847142,1.5230219262667863,1.6210562955029952,0.1438594453814012,0.012474278598294315,0.27042388330302064,0.20640911421159608,0.014372867236595735,0.01097052064614538,10.009098603172989,1.1370726149334853,646.7304445115977,False,False,True,False,True,False,True,False,False,False,AA00_clean,AA00,clean,False
691,3214,-0.15311513472430624,0.016639557744623133,0.3833134396521045,0.35709198169646045,0.0067613140795810085,0.006298790477425166,22.64576573756719,2.6417068172467757,0.20507197580018408,-0.005463557403978772,0.36777728349736655,0.3475842121019255,0.006487269862798686,0.006131081731070521,31.61144520535077,0.8911245427199361,716.8270511350477,True,False,True,False,True,False,False,False,False,False,AA00_constant,AA00,constant,False
703,11201,-0.0767802266056192,0.010265584261199006,0.4786538720752662,0.3798149258358585,0.004522652063215474,0.003588753498480977,16.976814827322954,2.860487427053475,0.3318575283912818,-0.002315026335411093,0.377108772576054,0.35637519858459327,0.00356318389518754,0.0033672787815743244,93.13511122439984,0.6875065848657576,941.5147765161167,True,False,True,False,True,False,False,False,False,False,AA00_constant,AA00,constant,False
F51,11792,0.5327101416443274,-0.0005903047253816682,0.28706249889704427,0.19597715555343892,0.0026435207630184144,0.0018047278267741005,201.51539912100802,0.32708795011867303,-0.10629943883934574,-0.001951951242438105,0.5414683408678965,0.31632539103203405,0.004986310671373295,0.0029129988844798947,21.3182542856018,0.6700830724096273,711.6464864123344,True,False,True,False,False,True,False,False,False,False,AA00_constant,AA00,constant,True
F52,6019,-0.10577750601711083,0.005500700122439269,0.2900801892508244,0.18907066166164613,0.003739003730202277,0.0024370361555902027,28.290291652474057,2.2571270064342177,0.2519030307365396,-0.004581656789326862,0.20510027149438587,0.15988257093803449,0.002643650647648731,0.0020608147377301194,95.28605111291188,2.2232259433341004,654.8380885051354,True,False,True,False,True,False,False,False,False,False,AA00_constant,AA00,constant,False
G96,14710,-0.11845136939377689,0.00630504062868466,0.3148049551968405,0.19371003445607662,0.0025955848070490007,0.001597150280219532,45.63571533940663,3.9476815092303137,0.29857728972653413,-0.003033033758182413,0.18893419305946008,0.1607401204773848,0.001557773195566647,0.0013253114593874517,191.66929471907193,2.2885441280227496,768.1307070317077,True,True,True,False,True,False,False,False,False,True,AA00_constant,AA00,constant,False
T09,76,-0.1659712694879091,0.03774110275632149,0.2837209264393249,0.2467093053491115,0.032545022276756694,0.02829949816968146,5.099743612910169,1.3336315198958282,0.1994866086856369,0.021349069976691927,0.25404529937654,0.2557221085208675,0.029140994396417746,0.029333337596621125,6.845566282740148,0.7278090979715551,490.29880288748876,True,False,True,False,True,False,False,False,False,False,AA00_constant,AA00,constant,False
V00,470,0.019295869922003904,0.018892963999581625,0.48401286158980106,0.3690103859551843,0.022325848495197836,0.017021179856522066,0.864283833429862,1.1099679433997838,0.3343890894763576,-0.03403436292093163,0.37279578833641763,0.34492892073971565,0.017195787448103794,0.01591038469670547,19.445988762394897,2.1391288501012204,871.7454556161142,False,False,True,False,True,True,True,False,False,False,AA00_constant,AA00,constant,False
W68,4780,-0.07541194414902855,-0.014626923301380611,0.377469690493974,0.40099132740122917,0.005459691916638334,0.005799907022970675,13.812490759636402,2.5219237555792398,0.28709576769909073,0.06396399020209596,0.31386172513781363,0.35233066463040036,0.004539671308270087,0.005096083023643769,63.24153186511054,12.551598925160532,922.4097525475556,True,False,True,True,True,True,False,False,True,False,AA00_constant,AA00,constant,False
W84,354,-0.19575353984529456,0.07889599300397125,0.3014740522299506,0.21958475514563666,0.016023165095681503,0.011670798060954274,12.216908374616526,6.760119795742592,0.3000015290030189,0.0495647310669015,0.22222246909069163,0.2041371028216535,0.01181099097541631,0.010849764603192301,25.400199663808866,4.5682770898382605,646.7304445115977,True,True,True,True,True,False,False,False,False,False,AA00_constant,AA00,constant,False
691,3214,0.14408504803567046,0.00968288947448533,0.4361472072043045,0.37229998784473767,0.007693255565254503,0.006567046414879449,18.728748423022644,1.4744664287047038,-0.06854579516192995,-0.0015787374802644256,0.45258772101702816,0.3743718612813393,0.007983251860762439,0.006603592451592168,8.58619975386615,0.23907251875966118,716.8270511350477,True,False,True,False,False,False,False,False,False,False,AA00_dcr,AA00,dcr,False
703,11201,0.11781916115170253,0.005993840979387446,0.48711644496798984,0.39236990494612994,0.004602612291234625,0.0037073816042779936,25.598324103049357,1.6167315963565982,0.2128821997252952,0.003702111134360984,0.464128120317636,0.38000016300381945,0.00438540273757736,0.0035905037470608755,48.543363623405384,1.0310840470202736,941.5147765161167,True,False,True,False,True,False,False,False,False,False,AA00_dcr,AA00,dcr,False
F51,11792,0.028534195593061182,-0.13959931620059163,0.31786800867546405,0.22723913701156115,0.0029272046472858136,0.0020926152986492845,9.7479332780914,66.71045379946256,0.14717029099806397,0.07594546111216563,0.2963302122419559,0.2402108692715227,0.0027288659151964542,0.002212070273413587,53.93093525720886,34.3323003906966,711.6464864123344,True,True,True,True,True,False,False,False,False,False,AA00_dcr,AA00,dcr,True
F52,6019,-0.01618148142131213,0.009454595210398492,0.28899975539209616,0.19361834909043654,0.003725077421623759,0.002495653809915223,4.343931572369476,3.7884241687831146,0.1885747165827456,-0.0073626877925253185,0.23337930703810097,0.17684388572551804,0.0030081547513503702,0.00227943848940142,62.68783761809256,3.2300445161206164,654.8380885051354,True,True,True,True,True,False,False,False,False,False,AA00_dcr,AA00,dcr,False
G96,14710,0.07179398721080449,-0.0017958327256096804,0.3335395844070884,0.20111593540510855,0.0027500528932117817,0.0016582123558587084,26.106402312486587,1.0829932120965924,0.17059830890490169,-0.0007102959040354318,0.30647418718917707,0.1839063144399313,0.0025268971497717494,0.0015163180496386697,67.51296107176802,0.4684346428539128,768.1307070317077,True,False,True,False,True,False,False,False,False,False,AA00_dcr,AA00,dcr,False
T09,76,0.09840305756318866,-0.006098766606152019,0.3141369283571689,0.24925524287732254,0.03603397697745199,0.028591537232893028,2.7308408845563643,0.21330670528395776,0.0026717614155472623,0.024219920194655055,0.30595896492045677,0.2764915906091256,0.03509590023575202,0.03171576058431573,0.07612745071646722,0.7636556635703838,490.29880288748876,False,False,False,False,False,True,False,False,False,False,AA00_dcr,AA00,dcr,False
V00,470,0.07238783813524031,0.02878139077342146,0.4778142982706433,0.3715688241711542,0.02203993008985453,0.017139191811424363,3.2843950883747155,1.679273508931549,0.29743733030197006,-0.0316657749651455,0.39716312889443856,0.3536243661583966,0.01831976905417591,0.016311475685027717,16.235866807183932,1.9413188344578458,871.7454556161142,True,False,True,False,True,True,False,False,False,False,AA00_dcr,AA00,dcr,False
W68,4780,-0.044762150367503396,-0.011644472765969272,0.37748040814759637,0.4079676957299147,0.005459846935937422,0.005900812665809895,8.198425870306565,1.9733676402640128,0.26677465707141773,0.06405156328920558,0.3194165490154329,0.3657250171189422,0.004620015843968568,0.0052898178846192195,57.74323424013624,12.108462840553205,922.4097525475556,True,False,True,True,True,True,False,False,True,False,AA00_dcr,AA00,dcr,False
W84,354,-0.006002835799032696,0.036167963943078224,0.29719499080958484,0.23791686747806837,0.01579573554714847,0.01264513883848521,0.3800288869812308,2.86022671676817,0.13751922979280395,-0.011195776437004428,0.2825546033250821,0.2175990468036987,0.015017607731524704,0.011565258853319665,9.15719948551632,0.9680523868076518,646.7304445115977,False,False,True,False,True,False,True,False,False,False,AA00_dcr,AA00,dcr,False
691,3214,-0.026075422789929192,0.019133298590152784,0.41240696613272354,0.3598284606620841,0.007274498460479854,0.006347059574839389,3.5844976710888132,3.014513786194759,0.08674069439646426,-0.006759089467987237,0.4102224472584332,0.3531967123753027,0.007235965456692523,0.006230081330861436,11.987438983175085,1.084911915115024,716.8270511350477,True,True,True,False,True,False,False,False,False,True,AA00_epoch,AA00,epoch,False
703,11201,-0.022698400899231815,0.008264582216206524,0.4790892180941795,0.37864658326315614,0.004526765512798811,0.003577714191676531,5.014264784658094,2.3100174506487643,0.2950235905360757,-0.0009391231904126059,0.39606256707468473,0.35995444782771063,0.0037422724240723853,0.0034010979981701564,78.83541257935133,0.2761235315530069,941.5147765161167,True,False,True,False,True,False,False,False,False,False,AA00_epoch,AA00,epoch,False
F51,11792,0.2827101425002436,0.14940969527464668,0.28706249586219923,0.1959771555534395,0.002643520735070926,0.0018047278267741059,106.94455267537687,82.78793791400213,0.022580423945884224,-0.07460014285363303,0.38681469700401805,0.259508821631354,0.0035621256238612337,0.0023897825762847847,6.339030772701313,31.216288709246623,711.6464864123344,True,True,True,True,False,False,False,False,False,False,AA00_epoch,AA00,epoch,True
F52,6019,-0.08125301687126214,0.004149416914518738,0.2881477666820234,0.19000839686613233,0.0037140956687047493,0.002449123142421572,21.876931592232857,1.6942459293475949,0.23395382829435302,-0.004060702540088464,0.21061791223847973,0.16319562113877087,0.002714770565825027,0.0021035184711043057,86.17812173134924,1.9304335074161127,654.8380885051354,True,False,True,False,True,True,False,False,False,False,AA00_epoch,AA00,epoch,False
G96,14710,-0.08731118635081107,0.0058248587291066046,0.3130307859184796,0.1924029684668575,0.0025809566801786115,0.0015863734466042341,33.829001091474666,3.671808010639112,0.2769702337398687,-0.0030034504726131027,0.19959014634382824,0.1615608073067501,0.0016456321380417924,0.001332078069094449,168.30628628184627,2.2547105475994047,768.1307070317077,True,True,True,False,True,False,False,False,False,True,AA00_epoch,AA00,epoch,False
T09,76,-0.10018591876212125,0.01219870212711964,0.2854870845509875,0.241067734640145,0.03274761450641595,0.027652365627491352,3.059334863688856,0.4411449744101448,0.14038087664621965,0.01966586309472393,0.24839273128611647,0.26053400736331234,0.028492600368058826,0.02988530024874632,4.926924002471582,0.6580446885605209,490.29880288748876,True,False,True,False,True,True,False,False,False,False,AA00_epoch,AA00,epoch,False
V00,470,0.03423332048955969,0.01859329770221072,0.47963688323546194,0.3691677905138926,0.022123999665320998,0.017028440387406786,1.5473386823097748,1.0918966904309808,0.32366820759411774,-0.031007465559272387,0.3767852737155679,0.34632662166377604,0.017379808686415848,0.015974855832802295,18.623231902840136,1.941016925836825,871.7454556161142,False,False,True,False,True,True,True,False,False,False,AA00_epoch,AA00,epoch,False
W68,4780,-0.0553858134364392,-0.010719776218110693,0.42536042110442174,0.4220701360864217,0.00615237967774995,0.0061047892540189675,9.002339962330627,1.7559617166233117,0.271438172757517,0.08145611218258202,0.3210294428489887,0.42292714136769594,0.004643344613528679,0.0061171849110068606,58.45746877512918,13.315947346305528,922.4097525475556,True,False,True,True,True,True,False,False,True,False,AA00_epoch,AA00,epoch,False
W84,354,-0.13381146713138128,0.05619350061657838,0.2934163060681765,0.2204699258392485,0.015594900719048782,0.011717844352522952,8.58046290528377,4.795549328531527,0.24047983390481437,0.04335414168868476,0.23526971378764253,0.20147427485682012,0.012504444207217299,0.01070823689363878,19.231549193207208,4.048672262232007,646.7304445115977,True,True,True,True,True,False,False,False,False,False,AA00_epoch,AA00,epoch,False
691,3214,0.10100262575501127,0.018178133201840058,0.4253253547127779,0.36704827508353133,0.007502367545036593,0.006474410791493827,13.462766939728574,2.807689191690269,-0.02866539607359791,-0.009832615942554565,0.4376445007192468,0.36566373398619634,0.007719666514301928,0.006449988696553285,3.713294611948669,1.5244392517786693,716.8270511350477,True,False,True,False,False,False,False,False,False,False,AA00_mag_dep,AA00,mag_dep,False
703,11201,0.10212033939176961,0.011578311563099686,0.4922276620710616,0.3890752864953224,0.0046509065972569,0.003676251775808311,21.957082400235706,3.1494881931893577,0.23087132673737423,0.0005932526509869554,0.45427825617268924,0.3801999554566809,0.004292334424551093,0.0035923915240159247,53.786891677602576,0.16514142376211818,941.5147765161167,True,True,True,False,True,False,False,False,False,True,AA00_mag_dep,AA00,mag_dep,False
F51,11792,0.11201954587155262,0.031133457147038933,0.3085275660142893,0.1978705553734037,0.0028411897404084993,0.0018221638964662527,39.42698520917745,17.08598068890316,0.11403044754641602,-0.011084366744564752,0.3064011571105029,0.20207331827600256,0.002821607920737088,0.0018608665867784703,40.41328588155787,5.956561756398664,711.6464864123344,True,True,True,True,True,False,False,False,False,False,AA00_mag_dep,AA00,mag_dep,True
F52,6019,-0.04560268033450752,0.0050060433415877155,0.28742844380048377,0.19057361678706644,0.00370482391890259,0.0024564085740748517,12.309000733296804,2.0379522341771357,0.20787805546816368,-0.005341783337807516,0.22213970733409058,0.16865163144783704,0.0028632813446975033,0.002173844000573611,72.60133757136093,2.4572983785395746,654.8380885051354,True,False,True,False,True,True,False,False,False,False,AA00_mag_dep,AA00,mag_dep,False
G96,14710,0.006778859574128775,0.004715472551918277,0.3240753319771823,0.19341864546612006,0.002672019592237276,0.001594747761381162,2.5369797413995947,2.9568767338067,0.21888422049768647,-0.001806497055730062,0.25598670843541227,0.17046339408349487,0.0021106250084468397,0.0014054804047301936,103.70587841122868,1.2853235446401337,768.1307070317077,False,False,True,False,True,False,True,False,False,False,AA00_mag_dep,AA00,mag_dep,False
T09,76,0.006466722696429716,0.01604187494037736,0.2979167460356722,0.2485392328711989,0.034173394462051754,0.028509405252386266,0.1892326705680574,0.5626871131952021,0.05455817406977629,0.011338729023730936,0.27060559101753345,0.2728650540652101,0.031040590126382266,0.03129976831300034,1.7576397177902159,0.3622623947354077,490.29880288748876,False,False,False,False,True,False,False,False,False,False,AA00_mag_dep,AA00,mag_dep,False
V00,470,0.05802315701038009,0.02632597194302632,0.4783324448967106,0.36774101523699493,0.022063830411498626,0.016962628151417677,2.6297862124674944,1.5519984113326264,0.30466067303416355,-0.0329534478509032,0.3899042213184844,0.34924805333570413,0.017984940615425157,0.01610961142727618,16.93976530413812,2.0455768284458853,871.7454556161142,False,False,True,False,True,True,True,False,False,False,AA00_mag_dep,AA00,mag_dep,False
W68,4780,-0.05001166951561674,-0.014108027221188814,0.3778863478272579,0.4074000006576909,0.005465718415538315,0.005892601568932475,9.15006330612279,2.394193304290328,0.2707173500173101,0.06561830523571431,0.3185349845272879,0.3638670122683286,0.004607264964543991,0.0052629438485855065,58.758797703336484,12.46798505238664,922.4097525475556,True,False,True,True,True,True,False,False,True,False,AA00_mag_dep,AA00,mag_dep,False
W84,354,-0.05673367845593868,0.022927302033605174,0.2940224056167805,0.22048352465661422,0.015627114546606626,0.011718567121511345,3.630464106904381,1.9564936391854908,0.17982368144186509,0.021185132354871152,0.25530041794721225,0.20189252672669458,0.013569064121792004,0.010730466729715898,13.25247488167346,1.9742973803928894,646.7304445115977,True,False,True,False,True,True,False,False,False,False,AA00_mag_dep,AA00,mag_dep,False
691,3214,0.16267276869848063,0.021691978308271978,0.4461959413834605,0.375012787724101,0.007870506454107133,0.006614897833906323,20.668653236869112,3.2792612755233024,-0.08657654642454869,-0.010521205528081418,0.46841791548264694,0.3736881830379877,0.008262482656374606,0.006591532964878444,10.478272696615447,1.5961697505180332,716.8270511350477,True,True,True,False,False,False,False,False,False,True,AA00_seasonal,AA00,seasonal,False
703,11201,0.12888891404162664,0.020903992239304142,0.500177002448314,0.3846657648817085,0.004726017450330139,0.0036345875729530412,27.272204429254277,5.751406953257148,0.20402175184567645,0.004544266895180374,0.47489961841109307,0.38472457711434466,0.004487179284093284,0.003635143271508494,45.467706754869006,1.2500929277801522,941.5147765161167,True,True,True,False,True,False,False,False,False,True,AA00_seasonal,AA00,seasonal,False
F51,11792,0.028469869343361615,-0.002003729863430495,0.36601088000062926,0.21333101067594187,0.0033705460117217255,0.001964537194110526,8.446663906783098,1.0199500775233294,0.16939157661547197,-0.023730209250918424,0.32403983623721305,0.21447307211380068,0.002984040194833612,0.0019750542875491407,56.7658495045564,12.014965563486061,711.6464864123344,True,False,True,True,True,True,False,False,True,False,AA00_seasonal,AA00,seasonal,True
F52,6019,-0.007927252548894627,0.010568733305182113,0.29115023900652154,0.1942598105011568,0.0037527961923431302,0.0025039219602279285,2.1123589298743917,4.220871685721409,0.18283967876985277,-0.005275545585452342,0.2389095237116789,0.17927187283794033,0.003079436767625723,0.002310734155933064,59.3743897234896,2.2830603736508586,654.8380885051354,False,True,True,False,True,False,True,False,False,True,AA00_seasonal,AA00,seasonal,False
G96,14710,0.08545446479218835,0.009350255392388644,0.34158135874581175,0.20350472109986886,0.002816357781209035,0.0016779080301302235,30.342190669930996,5.572567282881986,0.15861894619719857,6.715796555612435e-05,0.32364316036390905,0.18861551107666116,0.0026684563126416656,0.0015551456444459352,59.442212130567775,0.04318435755260163,768.1307070317077,True,True,True,False,True,False,False,False,False,True,AA00_seasonal,AA00,seasonal,False
T09,76,0.08674778497985469,-0.009249984861207924,0.33611039460748493,0.26057322740450745,0.03855450642020013,0.029889799096012925,2.250003774770265,0.30946962311438897,0.019799163857835405,0.03398341150497303,0.322687725648062,0.2878991988088265,0.03701482069528631,0.03302430298773684,0.5348982782012165,1.0290425059869497,490.29880288748876,False,False,False,False,False,True,False,False,False,False,AA00_seasonal,AA00,seasonal,False
V00,470,0.07637415904705702,0.029352804563757277,0.47835463795602134,0.36525479101639685,0.022064854100989417,0.016847947179734726,3.4613489261019996,1.7422184584638187,0.2907759973414108,-0.03188928865543224,0.4010393743257755,0.34980060245067657,0.018498566923195296,0.01613509861740272,15.71883911595377,1.9763925471789576,871.7454556161142,True,False,True,False,True,True,False,False,False,False,AA00_seasonal,AA00,seasonal,False
W68,4780,-0.03779896681077662,-0.011415076594602754,0.3757565683204949,0.4072263870137885,0.00543491345225218,0.005890090434841175,6.954842453859697,1.9380138082566738,0.2617252052299889,0.0650605426569572,0.3205643674890209,0.36479587547510445,0.00463661780009865,0.00527637885295648,56.44744003364271,12.330529037069095,922.4097525475556,True,False,True,True,True,True,False,False,True,False,AA00_seasonal,AA00,seasonal,False
W84,354,-0.0047966358399912515,0.01517709550649172,0.3034121819122012,0.22559878052398888,0.0161261755260845,0.01199043990347495,0.2974441046007822,1.2657663629249536,0.12955336295375872,0.008135937939250389,0.28516423441278493,0.212111266003305,0.015156308058958493,0.011273586594552434,8.547818007511609,0.7216814162035883,646.7304445115977,False,False,True,False,True,False,True,False,False,False,AA00_seasonal,AA00,seasonal,False
691,3214,0.13480177268908802,0.014792219086217386,0.43402641802684117,0.3730979400453345,0.007655846697622781,0.006581121594329522,17.607689653836115,2.2476744843861836,-0.06263452430004318,-0.005837372088151942,0.4506888640282206,0.37269050630085687,0.007949757682981487,0.006573934819152702,7.878796662460364,0.8879570985622133,716.8270511350477,True,False,True,False,False,False,False,False,False,False,AA00_step,AA00,step,False
703,11201,0.11123649505205967,0.009957436175577025,0.48497254908278253,0.3864554366941559,0.004582355283584163,0.0036514976271430364,24.27496083740025,2.726945815755003,0.21540125977000094,0.0036101767047052136,0.4553864171553298,0.37845052413745495,0.0043028050941662475,0.0035758616897725555,50.060659280626595,1.00959629256098,941.5147765161167,True,False,True,False,True,False,False,False,False,False,AA00_step,AA00,step,False
F51,11792,0.12287296616773564,-0.04567171585153311,0.3057915007834354,0.21354895086276904,0.002815993675877168,0.0019665441766010547,43.633963818992356,23.224352849510563,0.1034223012186058,0.02516492109175451,0.308868929280048,0.22259216722392042,0.0028443333097853147,0.002049821965608756,36.360823417847584,12.276637441672177,711.6464864123344,True,True,True,True,False,False,False,False,False,False,AA00_step,AA00,step,True
F52,6019,-0.03476281795165492,0.010416794683197048,0.2895166033032267,0.1933803504637995,0.0037317393597335467,0.002492586114202954,9.31544639123378,4.179111254709044,0.1982030722989343,-0.006235386977063309,0.2284111582390278,0.17615753199939005,0.002944117538261432,0.0022705916972476413,67.32172534659662,2.7461506992303812,654.8380885051354,True,True,True,False,True,False,False,False,False,True,AA00_step,AA00,step,False
G96,14710,0.048917374701986545,0.006895547899073739,0.3300227243571702,0.1987824330131744,0.0027210561815546306,0.0016389724955714724,17.977348293499183,4.207238326271862,0.18275802802601201,-0.003079039032488439,0.29053093710771816,0.18179550106748762,0.0023954441437015555,0.0014989142730157609,76.29400522927891,2.0541795404306376,768.1307070317077,True,True,True,False,True,False,False,False,False,True,AA00_step,AA00,step,False
T09,76,0.03517399852542452,-0.029639296483166537,0.28742383902261454,0.26176899998652253,0.03296977548063366,0.030026963618235567,1.0668558706469087,0.9870893660778409,0.03631879513985565,0.051713052926938494,0.2662970317750045,0.27985484127140603,0.03054636448610748,0.03210155189375459,1.1889727550515374,1.6109206526242537,490.29880288748876,False,False,False,False,True,True,False,False,False,False,AA00_step,AA00,step,False
V00,470,0.06073145631193153,0.03405592912168538,0.475933049126702,0.3716969154039096,0.021953154537586353,0.01714510021940895,2.7664113696258195,1.9863359610539162,0.29920893780652713,-0.03570462091109727,0.39389788621000055,0.35125398088394416,0.018169154640266805,0.016202137965490995,16.46796142861897,2.2036981160847233,871.7454556161142,False,False,True,False,True,True,True,False,False,False,AA00_step,AA00,step,False
W68,4780,-0.049774138175796845,-0.01273825573793894,0.3772622704107022,0.40662753124767664,0.005456691808866753,0.005881428632138037,9.121669304269165,2.1658437999796463,0.26882982742847367,0.0652800777428342,0.3181134995159394,0.36410145968181135,0.004601168638488164,0.005266334877535654,58.42642349157731,12.395732375716598,922.4097525475556,True,False,True,True,True,True,False,False,True,False,AA00_step,AA00,step,False
W84,354,-0.04250968136659745,0.032899327899443546,0.29185801509887715,0.2270588546168144,0.015512078488467067,0.012068041965968297,2.7404245922429142,2.7261529245770917,0.1594268606927825,0.005746866561953019,0.265328727759753,0.20907670426305888,0.014102062774805166,0.011112301457747643,11.305215643885484,0.5171625863287058,646.7304445115977,False,False,True,False,True,False,True,False,False,False,AA00_step,AA00,step,False
691,3214,0.14066650719527649,0.01743557140366334,0.4361148678374624,0.3688964455155217,0.007692685127086323,0.00650701090270992,18.285748717308447,2.6795054848305377,-0.06645567572273303,-0.009179216891346084,0.45181804312096513,0.37112871650508783,0.00796967541533408,0.006546386212077868,8.338567414535952,1.402180774854183,716.8270511350477,True,False,True,False,False,False,False,False,False,False,AA00_timing,AA00,timing,False
703,11201,0.11013699965623604,0.0100725028233586,0.4860511659360952,0.38786326529496423,0.004592546799879442,0.003664799763190728,23.98168259474835,2.748445610733466,0.21822764119131763,0.0028725341133076275,0.4561137141950687,0.3784661077388605,0.004309677098445841,0.003576008934391603,50.636657040968345,0.8032793446575491,941.5147765161167,True,False,True,False,True,False,False,False,False,False,AA00_timing,AA00,timing,False
F51,11792,0.04580043556851703,-0.0005903047253816682,0.3006382679553647,0.19597715555343892,0.0027685382331425223,0.0018047278267741005,16.543183337775222,0.32708795011867303,0.14228488507680392,0.006239520624011275,0.2719644523776387,0.1913615290707076,0.0025044848401499903,0.0017622231301024048,56.81203686914019,3.5407097531676874,711.6464864123344,True,False,True,True,True,True,False,False,True,False,AA00_timing,AA00,timing,True
F52,6019,-0.017814229926649317,0.004666951720530219,0.2888666098876558,0.1915651218223822,0.003723361235699281,0.0024691886299453834,4.784448459055745,1.8900750084182303,0.19062755337467766,-0.004682150013671867,0.23159607561205617,0.17457584857831465,0.002985169696869348,0.0022502045062896044,63.858196595856995,2.080766437265888,654.8380885051354,True,False,True,False,True,True,False,False,False,False,AA00_timing,AA00,timing,False
G96,14710,0.0654469223678866,0.0051898396102319526,0.3267436904955185,0.19663893891187018,0.0026940203603815467,0.001621299264475521,24.29340302336005,3.201037417302986,0.1739355719915173,-0.003450588629021465,0.29407308470503585,0.18163785993149248,0.0024246493526290137,0.001497614512860146,71.73638192381152,2.3040566176348856,768.1307070317077,True,True,True,False,True,False,False,False,False,True,AA00_timing,AA00,timing,False
T09,76,0.08120948481672516,0.01884501973256238,0.3085550296096445,0.24699025633876845,0.03539368927867475,0.028331725458418364,2.2944622748229624,0.6651560901301496,0.011429891895545954,0.005196809770509117,0.296335916663972,0.2743691849742573,0.03399206089683538,0.03147230396116857,0.3362518068626449,0.16512327082634592,490.29880288748876,False,False,False,False,False,False,False,False,False,False,AA00_timing,AA00,timing,False
