stn,n_obs,mean_ra_arcsec,mean_dec_arcsec,std_ra_arcsec,std_dec_arcsec,sem_ra_arcsec,sem_dec_arcsec,snr_ra,snr_dec,mean_at_arcsec,mean_ct_arcsec,std_at_arcsec,std_ct_arcsec,sem_at_arcsec,sem_ct_arcsec,snr_at,snr_ct,mean_speed_arcsec_per_day,detected_ra,detected_dec,detected_at,detected_ct,at_better_than_ra,ct_better_than_dec,at_gains_detection,at_loses_detection,ct_gains_detection,ct_loses_detection,scenario,target_station,applied_bias,is_target,corrected_snr_at,corrected_snr_ct,corrected_detected_at,corrected_detected_ct
691,3214,0.13613875763801092,0.0036924751723982348,0.4354270633588009,0.3724611042268508,0.007680552857187846,0.00656988836705264,17.72512476241934,0.5620301238169652,-0.05516321875072883,0.0022605393808483275,0.4510482309851145,0.3746780269655567,0.007956096602033186,0.006608992946688981,6.933452609993679,0.34203991426270597,716.8270511350477,True,False,True,False,False,False,False,False,False,False,AA00_clean,AA00,clean,False,0.0,0.0,False,False
703,11201,0.10596755937673527,0.01377987932255961,0.48780085619099245,0.385894576413907,0.004609079080725703,0.0036461982322114847,22.99104821608975,3.7792457910885076,0.21368975691234662,-0.002752111452186647,0.45465122624799675,0.381955679819821,0.004295858503178712,0.0036089808192805092,49.74320191277886,0.7625730337728176,941.5147765161167,True,True,True,False,True,False,False,False,False,True,AA00_clean,AA00,clean,False,0.0,0.0,False,False
F51,11792,0.030476261980413838,0.000607134735934697,0.28591548080551216,0.195867801813104,0.0026329580244086235,0.0018037208025748416,11.574913727407019,0.33660128278611745,0.14711277002128678,0.0012047146172535354,0.2555793686082908,0.18449779546101602,0.002353596760674301,0.0016990159108426206,62.50551176792887,0.709066118548626,711.6464864123344,True,False,True,False,True,True,False,False,False,False,AA00_clean,AA00,clean,True,0.0,0.0,False,False
F52,6019,-0.017268718322460776,0.0005062424051965786,0.2862513072000036,0.19311407207456416,0.0036896511552901557,0.0024891539050155755,4.680311930763752,0.2033793106069152,0.19238552867590225,0.000854299610275179,0.22758629096445931,0.17526202823299278,0.0029334853685000334,0.0022590490547403502,65.58257652884559,0.3781677996245948,654.8380885051354,True,False,True,False,True,True,False,False,False,False,AA00_clean,AA00,clean,False,0.0,0.0,False,False
G96,14710,0.07079275686573822,0.006467874351040778,0.3212622380959296,0.1976785627102618,0.002648825472772363,0.0016298710219768112,26.726093354744048,3.9683350791746266,0.16702605703098156,-0.005042812344207323,0.2934811692270232,0.18243848941859217,0.0024197689757593866,0.0015042157486364126,69.02562133170768,3.3524528305056545,768.1307070317077,True,True,True,True,True,False,False,False,False,False,AA00_clean,AA00,clean,False,0.0,0.0,False,False
T09,76,0.18758608737704044,0.03538836868954113,0.30454192625159826,0.2581920965768825,0.03493335475268245,0.02961666465788223,5.369827453019986,1.1948802844051114,-0.05115665091324606,-0.07656830147185381,0.3207942911915789,0.2912626838432762,0.03679762886760137,0.03341012118150731,1.3902159592214147,2.2917696423751615,490.29880288748876,True,False,False,False,False,True,False,True,False,False,AA00_clean,AA00,clean,False,0.0,0.0,False,False
V00,470,0.06287298105620164,0.029277152013130595,0.4937642251563852,0.37510267379067336,0.02277564535574832,0.017302196139348733,2.7605356543863286,1.6921061220978972,0.3115752705535209,-0.006679720987877251,0.4082331893558976,0.35403439636308437,0.01883039286669904,0.016330388968030667,16.546403081399966,0.40903624530645694,871.7454556161142,False,False,True,False,True,False,True,False,False,False,AA00_clean,AA00,clean,False,0.0,0.0,False,False
W68,4780,-0.04955952264205588,-0.006673935827525007,0.38007972697371434,0.40386573148567034,0.005497443279011089,0.005841482177586238,9.015013002730049,1.142507265216505,0.2681575607141653,0.057883246066674506,0.32293874090658153,0.36125505273803776,0.00467096055047411,0.00522516467136083,57.40951091675284,11.077784090505903,922.4097525475556,True,False,True,True,True,True,False,False,True,False,AA00_clean,AA00,clean,False,0.0,0.0,False,False
W84,354,0.0058858451106142025,0.030193397515855088,0.2969090336315719,0.24682679857946754,0.015780537094612655,0.013118696333642278,0.37298129178528283,2.3015547237285725,0.14010232331513953,0.01791081087936441,0.26701919185942036,0.24232661194349936,0.014191909928007698,0.012879514112498755,9.87198509755533,1.3906433676704542,646.7304445115977,False,False,True,False,True,False,True,False,False,False,AA00_clean,AA00,clean,False,0.0,0.0,False,False
691,3214,-0.16287094199485855,0.004969247898720923,0.39439253742976893,0.36082198340825694,0.006956739681827475,0.006364584447795003,23.41196443217691,0.7807654905800658,0.22014250497491894,0.007331080209048168,0.37395732175009766,0.3520258974856549,0.0065962803365469174,0.0062094291794389765,33.37373394444924,1.180636737644624,716.8270511350477,True,False,True,False,True,True,False,False,False,False,AA00_constant,AA00,constant,False,26.63842205268448,0.5591442036381911,True,False
703,11201,-0.08545246055048744,0.012563789938243216,0.4784141612822538,0.37886341176434335,0.0045203871102383,0.003579762936971344,18.903792632481572,3.509670936163388,0.3310531915586475,-0.004798481423632119,0.373970918661503,0.3610812850038876,0.0035335352862267805,0.0034117451333487542,93.68894456751171,1.406459520298995,941.5147765161167,True,True,True,False,True,False,False,False,False,True,AA00_constant,AA00,constant,False,21.099431200451942,-0.4120461097650604,True,False
F51,11792,0.5304762616481034,0.000607134735934697,0.28591548217561163,0.195867801813104,0.0026329580370256893,0.0018037208025748416,201.47539542534972,0.33660128278611745,-0.10651779260144768,-0.005677238886118854,0.5391503945807066,0.3152500542314762,0.00496496500915238,0.0029030962494424562,21.45388585923437,1.9555806622702143,711.6464864123344,True,False,True,False,False,True,False,False,False,False,AA00_constant,AA00,constant,True,-46.160223710847774,-2.045934340952443,True,False
F52,6019,-0.10766958576037035,0.0011558376715342707,0.28783587029943697,0.1906909184168739,0.0037100754640125946,0.002457920539550818,29.020861382674248,0.4702502188071136,0.2542049189516899,0.0015631287012504225,0.20177361965506463,0.15957004990647003,0.002600771595244531,0.0020567864815923802,97.74211599992074,0.7599858882970857,654.8380885051354,True,False,True,False,True,True,False,False,False,False,AA00_constant,AA00,constant,False,15.768739434233805,0.23201455809415275,True,False
G96,14710,-0.11471676192965828,0.00608660752704745,0.31100661579421063,0.19321990142034606,0.0025642672820776514,0.0015931091053905664,44.736663268858265,3.820584231458057,0.29360141074254,-0.003409023222407196,0.18810035185942595,0.160174627727979,0.00155089812732337,0.0013206489394219183,189.31057144885096,2.5813243176490284,768.1307070317077,True,True,True,False,True,False,False,False,False,True,AA00_constant,AA00,constant,False,44.039686967807505,0.8162032601840572,True,False
T09,76,-0.08882523814095183,0.03997702568526801,0.29377816008548674,0.2615699281519004,0.03369866609557765,0.030004128512719167,2.6358680752829136,1.3323841640100025,0.151259513079389,-0.0323215370693312,0.26272362986578485,0.2665937207389208,0.030136467175398432,0.030580397044301554,5.019152118894282,1.056936475432522,490.29880288748876,False,False,True,False,True,False,True,False,False,False,AA00_constant,AA00,constant,False,4.255717255454821,0.976914762627854,True,False
V00,470,0.008972918939971193,0.010502168194455373,0.5067363363514438,0.3730858236831668,0.02337400422632144,0.017209165781044172,0.3838845434051389,0.6102659668735059,0.35278486022874067,0.004895399808546172,0.3900504988253775,0.34536941050644604,0.017991687893682235,0.01593070297453678,19.608213654741128,0.3072933954245994,871.7454556161142,False,False,True,False,True,False,True,False,False,False,AA00_constant,AA00,constant,False,1.5823127758573334,0.5073739196149448,False,False
W68,4780,-0.07366891079364982,-0.007946690120960906,0.38518015484857276,0.4046270642014405,0.005571215466662288,0.005852494034110991,13.223130793357166,1.3578296833185972,0.2875882487084192,0.05875069438860159,0.31935650499216256,0.35974014113646885,0.004619147371938237,0.005203253109098218,62.26002886496876,11.291146741616753,922.4097525475556,True,False,True,True,True,True,False,False,True,False,AA00_constant,AA00,constant,False,2.957846706325224,0.11763572379103966,False,False
W84,354,-0.16910906226851427,0.08162380953361563,0.3118794630761213,0.24100955200870466,0.01657620644250168,0.012809513166745633,10.201915791475408,6.372124254145473,0.29116186464745636,0.06179047655366502,0.22192683000247862,0.22938794142160954,0.011795277935159165,0.012191831532995245,24.684612456614182,5.068186546577433,646.7304445115977,True,True,True,True,True,False,False,False,False,False,AA00_constant,AA00,constant,False,8.185869264586152,2.4742145349272175,True,False
691,3214,0.13359360316779553,-0.005864457851591769,0.43711523112499256,0.37787452675719085,0.0077103306612132045,0.006665376409439907,17.326572495760495,0.8798389605253457,-0.05429328024326892,0.01308416858515296,0.4557493847860104,0.3753913466244399,0.008039020846518644,0.006621575282067637,6.753718055947201,1.9759903086184243,716.8270511350477,True,False,True,False,False,True,False,False,False,False,AA00_dcr,AA00,dcr,False,0.07691486521355063,1.156935668090991,False,False
