fake_code,real_code,bias_type,bias_params,injected_ra_arcsec,injected_dec_arcsec,recovered_mean_ra_arcsec,recovered_mean_dec_arcsec,recovered_rms_ra_arcsec,recovered_rms_dec_arcsec,n_obs,n_objects,recovery_error_ra,recovery_error_dec,detection_snr_ra,detection_snr_dec,detected_ra,detected_dec,scenario,target_station,applied_bias,is_target
AA00,F51,,{},0.0,0.0,0.0304762619804138,0.0006071347359346,0.2875230986209416,0.1958604375338504,11792,100,-0.0304762619804138,-0.0006071347359346,0.0,0.0,True,True,AA00_clean,AA00,clean,True
AA01,G96,,{},0.0,0.0,0.0707927568657382,0.0064678743510407,0.3289590001423764,0.1977776303687236,14710,100,-0.0707927568657382,-0.0064678743510407,0.0,0.0,True,True,AA00_clean,AA00,clean,False
AA02,F52,,{},0.0,0.0,-0.0172687183224607,0.0005062424051965,0.286747983394066,0.1930986929718322,6019,100,0.0172687183224607,-0.0005062424051965,0.0,0.0,True,True,AA00_clean,AA00,clean,False
AA03,703,,{},0.0,0.0,0.1059675593767352,0.0137798793225596,0.4991568444196221,0.386123315041017,11201,92,-0.1059675593767352,-0.0137798793225596,0.0,0.0,False,True,AA00_clean,AA00,clean,False
AA04,691,,{},0.0,0.0,0.1361387576380109,0.0036924751723982,0.4561485481115754,0.3724214616555123,3214,97,-0.1361387576380109,-0.0036924751723982,0.0,0.0,False,True,AA00_clean,AA00,clean,False
AA05,W84,,{},0.0,0.0,0.0058858451106142,0.030193397515855,0.296547790539241,0.2483203768462128,354,31,-0.0058858451106142,-0.030193397515855,0.0,0.0,True,True,AA00_clean,AA00,clean,False
AA06,W68,,{},0.0,0.0,-0.0495595226420558,-0.006673935827525,0.3832577765138181,0.4038786297563346,4780,57,0.0495595226420558,0.006673935827525,0.0,0.0,True,True,AA00_clean,AA00,clean,False
AA07,T09,,{},0.0,0.0,0.1875860873770404,0.0353883686895411,0.3559690797642175,0.2589176481969038,76,9,-0.1875860873770404,-0.0353883686895411,0.0,0.0,False,True,AA00_clean,AA00,clean,False
AA08,V00,,{},0.0,0.0,0.0628729810562016,0.0292771520131305,0.4972297173035901,0.3758454489862393,470,66,-0.0628729810562016,-0.0292771520131305,0.0,0.0,True,True,AA00_clean,AA00,clean,False
AA00,F51,ConstantBias,"{'delta_ra': 0.5, 'delta_dec': 0.0}",0.5,0.0,0.5304762616481034,0.0006071347359346,0.6026157935632245,0.1958604375338504,11792,100,-0.0304762616481033,-0.0006071347359346,90.0996761484586,0.0,True,True,AA00_constant,AA00,constant,True
AA01,G96,,{},0.0,0.0,-0.1147167619296582,0.0060866075270474,0.3314792226802454,0.1933091800703082,14710,100,0.1147167619296582,-0.0060866075270474,0.0,0.0,False,True,AA00_constant,AA00,constant,False
AA02,F52,,{},0.0,0.0,-0.1076695857603703,0.0011558376715342,0.3072921464484496,0.1906785802181646,6019,100,0.1076695857603703,-0.0011558376715342,0.0,0.0,False,True,AA00_constant,AA00,constant,False
AA03,703,,{},0.0,0.0,-0.0854524605504874,0.0125637899382432,0.4859648123371779,0.3790547703019258,11201,92,0.0854524605504874,-0.0125637899382432,0.0,0.0,True,True,AA00_constant,AA00,constant,False
AA04,691,,{},0.0,0.0,-0.1628709419948585,0.0049692478987209,0.4266427323880995,0.3608000681820255,3214,97,0.1628709419948585,-0.0049692478987209,0.0,0.0,False,True,AA00_constant,AA00,constant,False
AA05,W84,,{},0.0,0.0,-0.1691090622685142,0.0816238095336156,0.3543894803884019,0.2541337577234623,354,31,0.1691090622685142,-0.0816238095336156,0.0,0.0,False,True,AA00_constant,AA00,constant,False
