stn,n_obs,mean_ra_arcsec,mean_dec_arcsec,std_ra_arcsec,std_dec_arcsec,sem_ra_arcsec,sem_dec_arcsec,snr_ra,snr_dec,mean_at_arcsec,mean_ct_arcsec,std_at_arcsec,std_ct_arcsec,sem_at_arcsec,sem_ct_arcsec,snr_at,snr_ct,mean_speed_arcsec_per_day,detected_ra,detected_dec,detected_at,detected_ct,at_better_than_ra,ct_better_than_dec,at_gains_detection,at_loses_detection,ct_gains_detection,ct_loses_detection,scenario,target_station,applied_bias,is_target,corrected_snr_at,corrected_snr_ct,corrected_detected_at,corrected_detected_ct
691,1893,-0.04162937351777051,-0.025096912702431647,0.6726279545049784,0.5027214343180575,0.015459648158142577,0.011554524970395694,2.6927762580317443,2.172041928745097,0.3579260083004881,0.016304587716328763,0.5930883086075542,0.47665805926306076,0.0136315128093785,0.010955485627077743,26.25724769551876,1.4882578711098027,1519.620772395072,False,False,True,False,True,False,True,False,False,False,AA00_clean,AA00,clean,False,0.0,0.0,False,False
703,31422,0.27407254165781364,-0.019189290373710345,0.8566451003751722,0.7025954742309951,0.004832635313783031,0.003963587369595431,56.71285413905299,4.8413945712187045,0.6215654006339794,-0.1499503699860559,0.7479409392105024,0.5785415258336487,0.004219397033695425,0.0032637555587595587,147.31142759741695,45.94411783799363,2542.8973816739726,True,True,True,True,True,True,False,False,False,False,AA00_clean,AA00,clean,False,0.0,0.0,False,False
F51,7557,-0.02058349690075477,-0.023375197972438432,0.601211112094698,0.4782161492959624,0.006915957055701968,0.005501099838875056,2.976232607428409,4.249186282214163,0.4084891049844698,-0.03173266496117147,0.4882853946365146,0.429249943529635,0.005616930146994207,0.004937823197030078,72.72461901686012,6.4264481928509545,1799.3189798139633,False,True,True,True,True,True,True,False,False,False,AA00_clean,AA00,clean,True,0.0,0.0,False,False
F52,4365,-0.039398638628321714,0.010683068746737183,0.7125718352646283,0.5250125774750637,0.010785406758625452,0.007946531032004715,3.6529580673267885,1.344368845186792,0.46153407908628485,-0.10001641741624845,0.6346899956106602,0.398953763247704,0.009606596036382769,0.006038519067923702,48.04345653115119,16.563070562703103,1906.940637333893,True,False,True,True,True,True,False,False,True,False,AA00_clean,AA00,clean,False,0.0,0.0,False,False
G96,11617,0.12123263743502899,-0.006844909437192077,0.648100034515287,0.5637940825373056,0.006013053250615852,0.005230865082755928,20.161577219129473,1.3085616487714447,0.4965125227202397,-0.08141077875286626,0.5967940703921042,0.37855718288740486,0.005537038009268711,0.0035122425210292094,89.67114220438867,23.179145023564622,1802.8287117442244,True,False,True,True,True,True,False,False,True,False,AA00_clean,AA00,clean,False,0.0,0.0,False,False
T09,9,-0.23898510045092924,0.22887912727682647,0.1949285482694095,0.3552288658691421,0.06497618275646984,0.1184096219563807,3.6780415578834984,1.932943653524543,0.3025926191929982,-0.13366533781222711,0.18756234460994464,0.35928362411439596,0.06252078153664821,0.11976120803813199,4.839872627241959,1.1160987769066928,901.1708485849505,True,False,True,False,True,False,False,False,False,False,AA00_clean,AA00,clean,False,0.0,0.0,False,False
V00,459,0.19315805534776456,0.022035153868769346,0.7180887670340801,0.42603164258803167,0.03351751330140172,0.019885454142725335,5.762899341929599,1.1081041303163013,0.511453418364026,-0.08317276915305565,0.5446418453329644,0.4114720468382882,0.025421704298267126,0.019205870410729846,20.118769865436963,4.330590979442883,1726.9049535973586,True,False,True,True,True,True,False,False,True,False,AA00_clean,AA00,clean,False,0.0,0.0,False,False
W68,12957,0.1932509656030077,-0.011500083834932461,1.1281391207783844,0.8170578924567266,0.009910839207593228,0.007177952830716845,19.49895075030051,1.6021397891777418,0.666205866873658,0.1978452208072221,1.055694253504235,0.6166538190464781,0.009274402248936804,0.0054173787033474485,71.83275525385264,36.5204708109056,20366.87226506025,True,False,True,True,True,True,False,False,True,False,AA00_clean,AA00,clean,False,0.0,0.0,False,False
W84,137,-0.20900682791558817,0.04128092822110353,0.49195201887828566,0.2757757410119605,0.04203029745578839,0.023561111614608266,4.972765851477548,1.7520789721784051,0.42913043972116444,0.08377372962940242,0.33198427658405055,0.24698289727004402,0.028363330894114275,0.02110117296077342,15.129761780208053,3.9700982398057114,1288.9081084365298,True,False,True,True,True,True,False,False,True,False,AA00_clean,AA00,clean,False,0.0,0.0,False,False
691,1893,-0.07497824611894278,-0.027636433671780987,0.6736199655801061,0.48044863371132057,0.015482448492395324,0.011042608005645058,4.842789960242441,2.502708930503831,0.3781607626783422,0.036003569432997706,0.5872636850445202,0.4489240228966285,0.01349763994498885,0.010318047885517151,28.016806213499468,3.489378013406377,1519.620772395072,True,False,True,True,True,True,False,False,True,False,AA00_constant,AA00,constant,False,1.0548031456755618,1.308953649663551,False,False
703,31422,0.22478886161378706,-0.013953301917367447,0.903270212276622,0.693630387818119,0.005095663914758336,0.003913012174370469,44.113753452762346,3.5658723498891938,0.6515710541715583,-0.14921218860255703,0.7590463008613486,0.569887629095381,0.004282046271825319,0.003214935893578647,152.1634781152917,46.412181624083395,2542.8973816739726,True,True,True,True,True,True,False,False,False,False,AA00_constant,AA00,constant,False,4.991299534148752,0.1611307613595455,True,False
F51,7557,0.4794165031678016,-0.023375197972438432,0.6012111101491685,0.4782161492959624,0.006915957033321811,0.005501099838875056,69.32034147377179,4.249186282214163,0.28539168436031975,-0.014489843610344269,0.6948139256453861,0.5052481019391268,0.007992705348916267,0.005812058535164834,35.70651886961104,2.4930656707388663,1799.3189798139633,True,True,True,False,False,False,False,False,False,True,AA00_constant,AA00,constant,True,-12.600828813734616,2.260935670938301,True,False
F52,4365,-0.06743526022706195,0.008471199381447024,0.8392238556544294,0.5151684942009417,0.012702397424132796,0.007797532100215954,5.308860837478152,1.0863949352914382,0.47651451918384313,-0.09598855764834822,0.7413625161475055,0.43400826933305287,0.011221179250341034,0.0065691001099217935,42.465636503343525,14.612131957521802,1906.940637333893,True,False,True,True,True,True,False,False,True,False,AA00_constant,AA00,constant,False,1.0141347293266945,0.45141087074961006,False,False
G96,11617,0.07655046108907947,-0.0029563679554588025,0.6465658933382387,0.5307925346086013,0.005998819533442154,0.004924677681922872,12.76092082155944,0.6003170453796013,0.5085188094957727,-0.08410805615378826,0.5523790005749831,0.36721439514545484,0.005124956284662862,0.0034070044666078907,99.22402870392969,24.686805367628004,1802.8287117442244,True,False,True,True,True,True,False,False,True,False,AA00_constant,AA00,constant,False,1.5913332381808565,-0.551228357955444,False,False
T09,9,-0.2428739037679511,0.2148648827006383,0.1949112534925521,0.35523138805797977,0.0649704178308507,0.11841046268599326,3.7382229001554044,1.8145768357516487,0.30147993258920047,-0.11916424296229981,0.18753441721575959,0.3592812416522646,0.06251147240525319,0.1197604138840882,4.822793656734686,0.9950219700946809,901.1708485849505,True,False,True,False,True,False,False,False,False,False,AA00_constant,AA00,constant,False,-0.012585364430295782,0.08561918060396465,False,False
V00,459,0.1871736160923,0.022651845176578728,0.7172918112065497,0.4323401844813939,0.033480314588963694,0.020179911661809716,5.590557268957057,1.1224947639115348,0.5074118596598792,-0.08438381677217464,0.548434424517457,0.41364817928792563,0.025598726734905267,0.019307443575044325,19.821761641292703,4.370532869573901,1726.9049535973586,True,False,True,True,True,True,False,False,True,False,AA00_constant,AA00,constant,False,-0.11202556728016967,-0.04446966085342056,False,False
W68,12957,0.15342526918558846,-0.00015878126472340025,1.1302032953306345,0.8152198227351003,0.009928973231763618,0.007161805164947738,15.452279465792914,0.02217056469233884,0.6799106976278885,0.1907758386268915,1.0447258694279005,0.6126331643373004,0.009178043662530657,0.005382056763350883,74.08013326452372,35.446641872300496,20366.87226506025,True,False,True,True,True,True,False,False,True,False,AA00_constant,AA00,constant,False,1.050337356951399,-0.9257486387092003,False,False
W84,137,-0.22191457620689028,0.06294800442506086,0.502641140795078,0.2716309287840732,0.04294353077217635,0.023206996407938905,5.167590373138846,2.7124580587053875,0.45311229160747707,0.06981853371445451,0.3248706593909516,0.2505183525851356,0.027755573561815305,0.021403227292969812,16.325091989121987,3.262056359948454,1288.9081084365298,True,False,True,True,True,True,False,False,True,False,AA00_constant,AA00,constant,False,0.6043145675552122,-0.4643079044138787,False,False
691,1893,-0.0419008446787987,-0.020262375114203104,0.7202169783189339,0.5012192671464749,0.016553431964518372,0.01151999923325997,2.5312481888113294,1.7588868457302134,0.347359679959039,0.01911757311706365,0.6581992973175195,0.46655347074103753,0.015128020603833251,0.0107232422564491,22.96134365860279,1.7828164896271075,1519.620772395072,False,False,True,False,True,True,True,False,False,False,AA00_dcr,AA00,dcr,False,-0.518883782663294,0.18349480022823092,False,False
703,31422,0.2618667412418132,-0.02285341458895398,0.8823596231217281,0.7147351041679401,0.004977699950991204,0.004032071277696748,52.607980356402955,5.667909373370155,0.6370436609312787,-0.15711789443693805,0.760299258043967,0.5915438441838492,0.00428911464252484,0.003337106194621141,148.52567814701152,47.082078086153174,2542.8973816739726,True,True,True,True,True,True,False,False,False,False,AA00_dcr,AA00,dcr,False,2.5725804556250185,-1.5355244341613015,False,False
F51,7557,-0.015443343426185257,-0.125345275703642,0.6246716441199789,0.4980826300684661,0.00718583236027752,0.0057296314230499724,2.149137727113471,21.876673462691734,0.4135129776367849,0.009676866500610842,0.5193144829074939,0.46162656520124107,0.005973869394527405,0.005310263626997161,69.2202909584196,1.8222949330451417,1799.3189798139633,False,True,True,False,True,False,True,False,False,True,AA00_dcr,AA00,dcr,True,0.6126809742589798,5.710654757984968,False,True
