fake_code,real_code,bias_type,bias_params,injected_ra_arcsec,injected_dec_arcsec,recovered_mean_ra_arcsec,recovered_mean_dec_arcsec,recovered_rms_ra_arcsec,recovered_rms_dec_arcsec,n_obs,n_objects,recovery_error_ra,recovery_error_dec,detection_snr_ra,detection_snr_dec,detected_ra,detected_dec,scenario,target_station,applied_bias,is_target
AA00,F51,nan,{},0.0,0.0,-0.01248327236875342,-0.023994929142829587,0.5593669363062643,0.4644407197117671,7520,98,0.01248327236875342,0.023994929142829587,0.0,0.0,True,True,AA00_clean,AA00,clean,True
AA01,G96,nan,{},0.0,0.0,0.12183217677371538,-0.007020820182397568,0.6591929890248257,0.5640586743592534,11605,99,-0.12183217677371538,0.007020820182397568,0.0,0.0,False,True,AA00_clean,AA00,clean,False
AA02,F52,nan,{},0.0,0.0,-0.01936016854393624,0.00521720271233911,0.5774651804908084,0.5128000010002255,4341,96,0.01936016854393624,-0.00521720271233911,0.0,0.0,True,True,AA00_clean,AA00,clean,False
AA03,703,nan,{},0.0,0.0,0.281116258858585,-0.017962751337728546,0.895699085917569,0.7021188288567041,31218,98,-0.281116258858585,0.017962751337728546,0.0,0.0,False,True,AA00_clean,AA00,clean,False
AA04,691,nan,{},0.0,0.0,-0.04162937351777051,-0.025096912702431647,0.6737376115372065,0.5032148532214714,1893,82,0.04162937351777051,0.025096912702431647,0.0,0.0,True,True,AA00_clean,AA00,clean,False
AA05,W84,nan,{},0.0,0.0,-0.20900682791558817,0.04128092822110353,0.5328546678875351,0.2778511262978356,137,14,0.20900682791558817,-0.04128092822110353,0.0,0.0,False,True,AA00_clean,AA00,clean,False
AA06,W68,nan,{},0.0,0.0,0.1932509656030077,-0.011500083834932461,1.1445285434637802,0.817107293167304,12957,89,-0.1932509656030077,0.011500083834932461,0.0,0.0,False,True,AA00_clean,AA00,clean,False
AA07,T09,nan,{},0.0,0.0,-0.23898510045092924,0.22887912727682647,0.30147821288172394,0.4056505435443489,9,1,0.23898510045092924,-0.22887912727682647,0.0,0.0,False,False,AA00_clean,AA00,clean,False
AA08,V00,nan,{},0.0,0.0,0.20029659792851912,0.019110743505830415,0.7436852131465317,0.42620504508598145,455,58,-0.20029659792851912,-0.019110743505830415,0.0,0.0,False,True,AA00_clean,AA00,clean,False
AA00,F51,ConstantBias,"{'delta_ra': 0.5, 'delta_dec': 0.0}",0.5,0.0,0.4875167276265748,-0.023994929142829587,0.7418949351991243,0.4644407197117671,7520,98,0.012483272373425225,0.023994929142829587,58.4435406149795,0.0,True,True,AA00_constant,AA00,constant,True
AA01,G96,nan,{},0.0,0.0,0.07789866709452795,-0.0027875303488521354,0.6492004384388073,0.5309947986858402,11605,99,-0.07789866709452795,0.0027875303488521354,0.0,0.0,True,True,AA00_constant,AA00,constant,False
AA02,F52,nan,{},0.0,0.0,-0.04100138475961488,0.0056717126287575675,0.5778251426299503,0.5113769674812527,4341,96,0.04100138475961488,-0.0056717126287575675,0.0,0.0,True,True,AA00_constant,AA00,constant,False
AA03,703,nan,{},0.0,0.0,0.2325035854108671,-0.013889052962945016,0.8936463156195473,0.6938053631144501,31390,99,-0.2325035854108671,0.013889052962945016,0.0,0.0,False,True,AA00_constant,AA00,constant,False
AA04,691,nan,{},0.0,0.0,-0.07497824611894278,-0.027636433671780987,0.6776030469293186,0.4811161220636896,1893,82,0.07497824611894278,0.027636433671780987,0.0,0.0,True,True,AA00_constant,AA00,constant,False
AA05,W84,nan,{},0.0,0.0,-0.22191457620689028,0.06294800442506086,0.5477682436192156,0.2778619226358977,137,14,0.22191457620689028,-0.06294800442506086,0.0,0.0,False,True,AA00_constant,AA00,constant,False
AA06,W68,nan,{},0.0,0.0,0.15342526918558846,-0.00015878126472340025,1.1405262896976374,0.8151883789275445,12957,89,-0.15342526918558846,0.00015878126472340025,0.0,0.0,False,True,AA00_constant,AA00,constant,False
AA07,T09,nan,{},0.0,0.0,-0.2428739037679511,0.2148648827006383,0.30456029727527933,0.39791358258552456,9,1,0.2428739037679511,-0.2148648827006383,0.0,0.0,False,False,AA00_constant,AA00,constant,False
AA08,V00,nan,{},0.0,0.0,0.19977221670566309,0.02275118692713189,0.7343980192082902,0.4338596685638631,455,58,-0.19977221670566309,-0.02275118692713189,0.0,0.0,False,True,AA00_constant,AA00,constant,False
AA00,F51,TimingBias,{'delta_t_sec': 1.0},0.0020081682437334,-0.0005348079114207,-0.010054976867113692,-0.02469404225368386,0.5815430292767615,0.4715802458502354,7520,98,0.012063145110847093,0.02415923434226316,0.29945196066288904,0.09834474055099593,True,True,AA00_timing,AA00,timing,True
